,date,Us,Eu,Ch,Kr,Tw
180,2019-03-30 04:20:01,117.478,171.924,186.456,237.889,258.836
181,2019-03-30 04:40:01,117.711,172.041,186.475,238.984,258.618
182,2019-03-30 05:00:02,117.771,172.172,186.398,237.96099999999998,258.443
183,2019-03-30 05:20:01,117.74600000000001,172.30599999999998,186.1,237.172,258.483
184,2019-03-30 05:40:02,117.65899999999999,172.799,185.075,236.097,258.372
185,2019-03-30 06:00:01,117.62799999999999,172.799,184.40200000000002,236.733,258.09
186,2019-03-30 06:20:01,117.566,173.204,183.86900000000003,237.27200000000002,257.895
187,2019-03-30 06:40:02,117.506,173.40599999999998,183.63099999999997,238.08900000000003,258.04400000000004
188,2019-03-30 07:00:01,117.40100000000001,173.58900000000003,183.605,238.357,257.936
189,2019-03-30 07:20:02,117.245,173.804,183.574,238.685,257.806
190,2019-03-30 07:40:01,117.15899999999999,174.188,183.632,239.352,257.97700000000003
191,2019-03-30 08:00:02,117.02600000000001,174.59400000000002,183.419,239.84099999999998,258.881
192,2019-03-30 08:20:01,117.007,175.045,183.14700000000002,240.13099999999997,259.724
193,2019-03-30 08:40:02,117.04799999999999,175.045,182.81099999999998,239.981,260.526
194,2019-03-30 09:00:01,117.131,175.283,182.707,240.408,261.004
195,2019-03-30 09:20:01,117.316,175.845,182.824,241.357,261.048
196,2019-03-30 09:40:01,117.508,175.845,183.10299999999998,241.827,259.503
197,2019-03-30 10:00:01,117.616,176.202,183.351,242.17700000000002,258.809
198,2019-03-30 10:20:01,117.725,176.59,183.43099999999998,242.245,258.376
199,2019-03-30 10:40:02,117.759,176.56799999999998,183.56400000000002,241.68900000000002,258.116
200,2019-03-30 11:00:01,117.865,176.458,183.592,242.02,257.899
201,2019-03-30 11:20:02,118.037,175.7,183.696,243.078,258.224
202,2019-03-30 11:40:01,118.287,175.7,183.87099999999998,243.342,258.721
203,2019-03-30 12:00:01,118.464,175.09799999999998,184.676,241.96400000000003,259.047
204,2019-03-30 12:20:01,118.66,174.18400000000003,185.597,240.60299999999998,259.245
205,2019-03-30 12:40:01,118.833,173.78400000000002,186.75,239.745,259.836
206,2019-03-30 13:00:01,118.965,173.293,187.764,239.50900000000001,259.836
207,2019-03-30 13:20:01,119.022,172.90400000000002,188.67,239.31400000000002,260.379
208,2019-03-30 13:40:01,119.09899999999999,172.553,189.33900000000003,239.148,260.033
209,2019-03-30 14:00:01,119.296,171.854,189.94799999999998,239.44,259.666
210,2019-03-30 14:20:01,119.456,171.854,190.299,239.174,259.233
211,2019-03-30 14:40:01,119.579,171.476,189.99599999999998,239.34599999999998,259.47
212,2019-03-30 15:00:01,119.65,171.092,189.278,239.08,260.183
213,2019-03-30 15:20:02,119.68,171.092,188.771,238.91400000000002,260.683
214,2019-03-30 15:40:01,119.523,170.929,188.412,238.946,261.163
215,2019-03-30 16:00:02,119.40100000000001,171.187,187.793,239.0,261.535
216,2019-03-30 16:20:01,119.083,171.187,187.042,239.054,261.66900000000004
217,2019-03-30 16:40:02,118.39299999999999,171.555,186.423,238.86900000000003,261.89
218,2019-03-30 17:00:01,117.64299999999999,171.614,186.077,238.122,262.068
219,2019-03-30 17:20:02,117.03399999999999,171.614,185.717,237.278,262.311
220,2019-03-30 17:40:01,116.586,170.825,185.35299999999998,236.99099999999999,262.095
221,2019-03-30 18:00:02,116.311,170.825,184.645,237.018,261.617
222,2019-03-30 18:20:01,115.96600000000001,170.533,183.889,237.203,261.14
223,2019-03-30 18:40:02,115.84,170.196,183.072,237.36900000000003,260.968
224,2019-03-30 19:00:01,115.666,170.196,182.47400000000002,237.81799999999998,260.992
225,2019-03-30 19:20:01,115.646,170.112,181.957,238.30700000000002,260.906
226,2019-03-30 19:40:01,115.865,171.06,181.44799999999998,239.135,260.755
227,2019-03-30 20:00:02,116.223,171.06,180.99099999999999,239.42700000000002,260.60400000000004
228,2019-03-30 20:20:02,116.696,171.89,180.419,239.66,260.408
229,2019-03-30 20:40:01,117.08,173.09099999999998,179.835,239.753,259.995
230,2019-03-30 21:00:02,117.22200000000001,173.09099999999998,179.38099999999997,240.22299999999998,259.58299999999997
231,2019-03-30 21:20:01,117.321,173.15400000000002,178.96099999999998,240.69400000000002,259.237
232,2019-03-30 21:40:01,117.369,173.167,178.575,240.40400000000002,258.805
233,2019-03-30 22:00:01,117.23700000000001,172.91,178.226,240.416,257.943
234,2019-03-30 22:20:02,116.78399999999999,172.592,178.03099999999998,240.428,257.943
235,2019-03-30 22:40:01,116.265,172.426,178.00400000000002,240.48,257.686
236,2019-03-30 23:00:01,115.71700000000001,172.31900000000002,177.81,240.452,257.472
237,2019-03-30 23:20:01,115.383,172.489,177.71400000000003,240.56599999999997,257.301
238,2019-03-30 23:40:01,115.068,172.495,177.791,240.52,258.122
239,2019-03-31 00:00:02,114.816,172.377,178.84099999999998,240.093,258.122
240,2019-03-31 00:20:01,114.876,172.28099999999998,180.075,239.645,258.70599999999996
241,2019-03-31 00:40:01,115.22399999999999,172.261,181.407,238.958,259.39599999999996
242,2019-03-31 01:00:02,115.87700000000001,172.21,182.84,238.173,259.39599999999996
243,2019-03-31 01:20:01,116.446,172.143,184.32299999999998,237.328,259.634
244,2019-03-31 01:40:02,117.155,172.058,185.84400000000002,236.763,260.47700000000003
245,2019-03-31 02:00:01,117.662,171.951,187.27700000000002,236.535,260.47700000000003
246,2019-03-31 02:20:01,118.056,171.706,188.738,236.803,260.65
247,2019-03-31 02:40:02,118.24,171.42,190.081,237.407,260.738
248,2019-03-31 03:00:01,118.499,171.232,190.771,238.645,260.738
249,2019-03-31 03:20:01,118.742,171.19299999999998,191.17,239.19099999999997,261.02099999999996
250,2019-03-31 03:40:01,119.055,171.127,190.321,240.097,262.024
251,2019-03-31 04:00:01,119.42200000000001,171.18200000000002,189.351,240.487,262.024
252,2019-03-31 04:20:01,119.704,171.18200000000002,188.30900000000003,241.123,262.461
253,2019-03-31 04:40:01,119.906,171.315,187.206,241.457,262.548
254,2019-03-31 05:00:02,119.99600000000001,171.422,186.885,241.67,262.723
255,2019-03-31 05:20:01,120.03200000000001,171.422,186.62400000000002,241.88400000000001,262.767
256,2019-03-31 05:40:02,119.845,171.485,186.37599999999998,242.015,262.95799999999997
257,2019-03-31 06:00:01,119.633,171.86900000000003,186.158,241.42,263.018
258,2019-03-31 06:20:01,119.429,171.86900000000003,185.847,240.726,263.275
259,2019-03-31 06:40:01,119.23299999999999,172.111,185.482,240.179,263.505
260,2019-03-31 07:00:01,119.12100000000001,172.54,185.482,240.37400000000002,263.406
261,2019-03-31 07:20:01,119.027,172.54,183.977,240.429,263.087
262,2019-03-31 07:40:01,118.96799999999999,172.75799999999998,183.429,240.66099999999997,263.03700000000003
263,2019-03-31 08:00:01,118.91,173.09400000000002,182.952,240.572,263.074
264,2019-03-31 08:20:02,118.90799999999999,173.463,182.628,240.202,262.009
265,2019-03-31 08:40:01,118.906,173.9,182.53,239.447,262.009
266,2019-03-31 09:00:01,118.87899999999999,174.49099999999999,182.608,239.114,261.173
267,2019-03-31 09:20:02,118.831,174.875,182.78400000000002,238.821,260.601
268,2019-03-31 09:40:01,118.73700000000001,175.14700000000002,183.104,238.738,260.224
269,2019-03-31 10:00:01,118.6,175.14700000000002,183.108,238.87400000000002,260.237
270,2019-03-31 10:20:02,118.49,174.77200000000002,183.107,239.075,260.142
271,2019-03-31 10:40:01,118.46700000000001,173.799,183.28900000000002,238.878,259.91900000000004
272,2019-03-31 11:00:01,118.545,173.799,183.74,238.68099999999998,259.653
273,2019-03-31 11:20:01,118.655,173.396,184.46400000000003,238.445,259.473
274,2019-03-31 11:40:01,118.779,173.02200000000002,185.11700000000002,237.752,259.247
275,2019-03-31 12:00:01,118.916,173.02200000000002,185.354,237.06099999999998,259.086
276,2019-03-31 12:20:02,119.13799999999999,173.048,185.726,236.53,258.796
277,2019-03-31 12:40:01,119.399,172.942,186.183,236.52599999999998,257.915
278,2019-03-31 13:00:01,119.76100000000001,172.40900000000002,187.22799999999998,236.52200000000002,256.27
279,2019-03-31 13:20:01,120.061,172.149,188.125,236.55700000000002,256.27
280,2019-03-31 13:40:02,120.257,171.893,188.696,236.423,256.64599999999996
281,2019-03-31 14:00:01,120.329,171.71599999999998,189.101,236.584,258.968
282,2019-03-31 14:20:01,120.40100000000001,172.59,189.28599999999997,237.081,258.968
283,2019-03-31 14:40:01,120.478,172.59,189.351,237.576,260.125
284,2019-03-31 15:00:01,120.464,173.362,189.11900000000003,238.389,260.85400000000004
285,2019-03-31 15:20:01,120.23899999999999,173.938,188.77200000000002,238.96599999999998,261.455
286,2019-03-31 15:40:01,119.955,173.938,188.43099999999998,238.24900000000002,261.728
287,2019-03-31 16:00:01,119.17200000000001,173.956,187.801,236.72099999999998,261.085
288,2019-03-31 16:20:01,118.484,174.457,186.953,235.143,260.03
289,2019-03-31 16:40:02,117.73299999999999,174.457,185.83599999999998,233.928,258.957
290,2019-03-31 17:00:02,117.03,174.75599999999997,184.80599999999998,232.05599999999998,258.731
291,2019-03-31 17:20:01,116.27799999999999,175.25599999999997,184.30200000000002,229.89,258.41900000000004
292,2019-03-31 17:40:01,115.779,175.25599999999997,183.597,227.668,258.107
293,2019-03-31 18:00:02,115.57700000000001,175.72099999999998,182.905,225.41099999999997,257.663
294,2019-03-31 18:20:01,115.61,176.53099999999998,181.905,223.157,257.563
295,2019-03-31 18:40:02,116.13,176.53099999999998,181.248,220.945,258.107
296,2019-03-31 19:00:01,116.729,176.71900000000002,180.429,219.329,258.658
297,2019-03-31 19:20:01,117.35700000000001,177.014,179.704,218.018,258.974
298,2019-03-31 19:40:01,117.682,177.25900000000001,178.997,217.063,259.009
299,2019-03-31 20:00:01,117.804,177.49200000000002,178.49099999999999,215.968,258.82599999999996
300,2019-03-31 20:20:02,117.70200000000001,177.845,178.09400000000002,215.04,258.633
301,2019-03-31 20:40:01,117.725,178.299,177.579,214.297,258.633
302,2019-03-31 21:00:01,117.74600000000001,178.933,176.975,213.717,258.256
303,2019-03-31 21:20:02,117.779,179.632,176.347,212.979,257.76099999999997
304,2019-03-31 21:40:02,117.977,180.206,175.852,211.799,257.76099999999997
305,2019-03-31 22:00:01,118.43700000000001,180.653,175.517,210.81900000000002,257.795
306,2019-03-31 22:20:01,118.93299999999999,181.092,175.31599999999997,210.107,257.764
307,2019-03-31 22:40:02,119.28399999999999,181.39,175.264,209.34599999999998,257.66900000000004
308,2019-03-31 23:00:01,119.71600000000001,180.963,175.449,208.62400000000002,257.573
309,2019-03-31 23:20:02,120.14,180.963,176.269,208.18200000000002,257.47700000000003
310,2019-03-31 23:40:02,120.43700000000001,180.362,176.602,208.36599999999999,257.42400000000004
311,2019-04-01 00:00:01,120.755,179.517,177.215,209.78099999999998,257.435
312,2019-04-01 00:20:02,120.84200000000001,179.517,178.071,211.416,256.58799999999997
313,2019-04-01 00:40:01,120.977,179.165,179.207,213.169,255.359
